Ref,Val,Package,PosX,PosY,Rot,Side
*G1,FIDUCIAL,FIDUCIAL_40MIL,123.710700,-116.598700,0.000000,top
*G2,FIDUCIAL,FIDUCIAL_40MIL,173.520100,-93.611700,0.000000,top
C1,0.1uF,C_0402,136.502140,-101.808280,90.000000,top
C2,0.1uF,C_0402,159.550100,-107.175300,270.000000,top
C3,0.1uF,C_0402,161.518600,-106.832400,0.000000,top
C4,10nF,C_0402,169.360000,-112.014000,180.000000,top
C5,0.1uF,C_0402,160.909000,-109.305000,270.000000,top
C6,0.1uF,C_0402,160.909000,-112.699800,270.000000,top
C7,0.1uF,C_0402,139.382500,-111.594900,270.000000,top
C8,0.1uF,C_0402,164.084000,-114.046000,180.000000,top
C9,10uF,C_0805,148.374100,-113.957100,0.000000,top
FB1,~,0603,169.326560,-106.621580,180.000000,top
FB2,~,0603,134.815580,-111.493300,90.000000,top
FB3,~,0603,169.291000,-114.173000,180.000000,top
FB4,~,0603,134.785100,-102.864920,270.000000,top
LD1,LED_BGR,LED_RGB_PLLC-6,155.486100,-104.787700,90.000000,top
LD2,LED_Small_ALT,LED-0603,146.558000,-111.506000,180.000000,top
LD3,LED_Small_ALT,LED-0603,149.606000,-111.506000,180.000000,top
LD4,LED_Small_ALT,LED-0603,145.288000,-109.321600,270.000000,top
LD5,LED_Small_ALT,LED-0603,148.082000,-109.310000,270.000000,top
LD6,LED_Small_ALT,LED-0603,150.876000,-109.320000,270.000000,top
LD7,LED_Small_ALT,LED-0603,146.545300,-107.130000,180.000000,top
LD8,LED_Small_ALT,LED-0603,149.593300,-107.150000,180.000000,top
LD9,LED_Small_ALT,LED-0603,146.558000,-102.870000,180.000000,top
LD10,LED_Small_ALT,LED-0603,149.606000,-102.870000,180.000000,top
LD11,LED_Small_ALT,LED-0603,145.288000,-100.711000,270.000000,top
LD12,LED_Small_ALT,LED-0603,148.082000,-100.720000,270.000000,top
LD13,LED_Small_ALT,LED-0603,150.876000,-100.690000,270.000000,top
LD14,LED_Small_ALT,LED-0603,146.558000,-98.552000,180.000000,top
LD15,LED_Small_ALT,LED-0603,149.606000,-98.552000,180.000000,top
Q1,BC817,SOT-23,154.833020,-111.747740,90.000000,top
Q2,BC817,SOT-23,158.374080,-111.760000,90.000000,top
Q3,BC817,SOT-23,137.408920,-97.055940,90.000000,top
R1,4.7K,0402,154.382480,-113.929480,180.000000,top
R2,4.7K,0402,158.783020,-113.929160,180.000000,top
R3,4.7K,0402,134.807960,-96.009460,270.000000,top
R4,100K,0402,152.442480,-113.949480,180.000000,top
R5,100K,0402,156.868180,-113.929160,180.000000,top
R6,100K,0402,134.807960,-97.914460,270.000000,top
R7,4.7K,0402,164.693600,-105.638600,180.000000,top
R8,4.7K,0402,164.693600,-104.317800,180.000000,top
R9,22,0402,169.786720,-110.871000,180.000000,top
R10,22,0402,169.793920,-109.933740,180.000000,top
R11,4.7K,0402,152.092660,-96.154240,0.000000,top
R12,4.7K,0402,134.805420,-99.827080,90.000000,top
R13,4.7K,0402,144.640300,-113.804700,270.000000,top
RN1,470,RN0804,141.140000,-100.840000,180.000000,top
RN2,470,RN0804,138.730000,-100.840000,180.000000,top
RN3,470,RN0804,140.460000,-108.230000,0.000000,top
RN4,470,RN0804,143.560000,-105.070000,90.000000,top
RN5,470,RN0804,155.105100,-109.080300,0.000000,top
SW1,BTN,MINI_PUSHBUTTON,154.736800,-98.498660,90.000000,top
SW2,BTN,MINI_PUSHBUTTON,159.090360,-98.498660,90.000000,top
SW3,BTN,MINI_PUSHBUTTON,163.535360,-98.498660,90.000000,top
U1,MCP23S18-E/MJ,QFN-24-1EP_4x4mm_Pitch0.5mm,139.940000,-104.590000,270.000000,top
U2,MMA8452QR1,MMA8452QR1,161.053780,-103.845360,90.000000,top
U3,TPD4S012DRY,SON-6(TI)-DRY,137.287000,-112.014000,0.000000,top
U4,FT230XQ,QFN-16-1EP_4x4mm_Pitch0.65mm,164.602000,-110.490000,180.000000,top
U5,TPS2051C,SOT-23-5,142.125700,-112.356900,0.000000,top
X1,10118192-0001LF,10118192-0001LF(MICRO-USB-B-AMPHENOL-FCI),174.540000,-110.328880,90.000000,top
